document_id,clean_text,sentiment
219,very impressive and engaging movie,positive
220,one of the best movies I have watched,positive
221,great visuals and powerful storytelling,positive
222,the movie was okay with average storyline,neutral
223,superb experience with strong emotions,positive
224,superb experience with strong emotions,positive
225,fantastic movie and very entertaining,positive
226,fantastic movie and very entertaining,positive
227,one of the best movies I have watched,positive
228,the movie was okay with average storyline,neutral
229,superb experience with strong emotions,positive
230,loved every moment of the film,positive
231,outstanding music and excellent cinematography,positive
232,disappointing movie with weak storyline,negative
233,great visuals and powerful storytelling,positive
234,superb experience with strong emotions,positive
235,loved every moment of the film,positive
236,loved every moment of the film,positive
237,one of the best movies I have watched,positive
238,very impressive and engaging movie,positive
239,great visuals and powerful storytelling,positive
240,outstanding music and excellent cinematography,positive
241,great visuals and powerful storytelling,positive
242,disappointing movie with weak storyline,negative
243,very impressive and engaging movie,positive
244,one of the best movies I have watched,positive
245,disappointing movie with weak storyline,negative
246,superb experience with strong emotions,positive
247,loved every moment of the film,positive
248,very impressive and engaging movie,positive
249,great visuals and powerful storytelling,positive
250,loved every moment of the film,positive
251,overall a normal movie experience,neutral
252,very impressive and engaging movie,positive
253,very impressive and engaging movie,positive
254,brilliant acting and wonderful screenplay,positive
255,brilliant acting and wonderful screenplay,positive
256,loved every moment of the film,positive
257,great visuals and powerful storytelling,positive
258,one of the best movies I have watched,positive
259,brilliant acting and wonderful screenplay,positive
260,outstanding music and excellent cinematography,positive
261,great visuals and powerful storytelling,positive
262,superb experience with strong emotions,positive
263,fantastic movie and very entertaining,positive
264,very impressive and engaging movie,positive
265,one of the best movies I have watched,positive
266,overall a normal movie experience,neutral
267,excellent movie with outstanding performances,positive
268,one of the best movies I have watched,positive
269,fantastic movie and very entertaining,positive
270,the film failed to impress,negative
271,amazing film with great direction and story,positive
272,loved every moment of the film,positive
273,average film with some good moments,neutral
274,very impressive and engaging movie,positive
275,great visuals and powerful storytelling,positive
276,brilliant acting and wonderful screenplay,positive
277,outstanding music and excellent cinematography,positive
278,amazing film with great direction and story,positive
279,decent performances but not very engaging,neutral
280,fantastic movie and very entertaining,positive
281,loved every moment of the film,positive
282,one of the best movies I have watched,positive
283,one of the best movies I have watched,positive
284,excellent movie with outstanding performances,positive
285,outstanding music and excellent cinematography,positive
286,outstanding music and excellent cinematography,positive
287,one of the best movies I have watched,positive
288,great visuals and powerful storytelling,positive
289,poor execution and boring plot,negative
290,outstanding music and excellent cinematography,positive
291,great visuals and powerful storytelling,positive
292,loved every moment of the film,positive
293,very impressive and engaging movie,positive
294,great visuals and powerful storytelling,positive
295,amazing film with great direction and story,positive
296,excellent movie with outstanding performances,positive
297,brilliant acting and wonderful screenplay,positive
298,outstanding music and excellent cinematography,positive
299,amazing film with great direction and story,positive
300,fantastic movie and very entertaining,positive
